 IP Address , Computer Name , Domain , MAC Address , OfficeScan Client Status , Ping Result , Product name , Platform , OfficeScan Server , Version , Pattern File , Scan Engine , Outbreak Prevention Policy , Computer Description , Remote Installation
141.195.19.1,NA,,,NA," Ping successful",Undetected,Non-Windows,,,,,,,
141.195.19.2,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.3,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.4,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.5,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.6,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.7,NA,,,NA," Ping successful",Undetected,Non-Windows,,,,,,,
141.195.19.8,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.9,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.10,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.11,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.12,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.13,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.14,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.15,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.16,NA,,,NA," Ping successful",Undetected,Non-Windows,,,,,,,
141.195.19.17,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.18,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.19,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.20,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.21,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.22,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.23,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.24,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.25,,,,Unreachable,Time Out,NA,NA,,,,,,,
141.195.19.26,,,,Unreachable,Time Out,NA,NA,,,,,,,
